UE,RSRP,RSRQ,SINR,Cluster,Time
ue1,-103.0,-8.0,15.0,0,2025-06-07 23:25:46.733101
ue1,-102.0,-8.0,15.0,0,2025-06-07 23:25:47.984619
ue0,-88.0,-11.0,10.0,2,2025-06-07 23:25:48.001475
ue1,-102.0,-14.0,15.0,0,2025-06-07 23:25:49.250824
ue0,-88.0,-12.0,9.0,2,2025-06-07 23:25:49.252967
ue0,-91.0,-14.0,8.0,2,2025-06-07 23:25:50.515336
ue1,-104.0,-8.0,14.0,0,2025-06-07 23:25:50.515409
ue1,-103.0,-9.0,15.0,0,2025-06-07 23:25:51.773117
ue0,-91.0,-15.0,8.0,2,2025-06-07 23:25:51.773150
ue0,-91.0,-15.0,7.0,2,2025-06-07 23:25:53.034816
ue1,-100.0,-8.0,15.0,0,2025-06-07 23:25:53.048514
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:25:54.301596
ue1,-98.0,-13.0,16.0,0,2025-06-07 23:25:54.315535
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:25:55.553143
ue1,-100.0,-13.0,15.0,0,2025-06-07 23:25:55.567090
ue0,-92.0,-16.0,8.0,2,2025-06-07 23:25:56.814833
ue1,-102.0,-10.0,14.0,0,2025-06-07 23:25:56.826357
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:25:58.066309
ue1,-102.0,-9.0,14.0,0,2025-06-07 23:25:58.077883
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:25:59.333190
ue1,-101.0,-9.0,14.0,0,2025-06-07 23:25:59.345001
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:00.584667
ue1,-101.0,-10.0,15.0,0,2025-06-07 23:26:00.595535
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:01.835553
ue1,-101.0,-9.0,14.0,0,2025-06-07 23:26:01.847483
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:03.086991
ue1,-100.0,-10.0,15.0,0,2025-06-07 23:26:03.099006
ue0,-92.0,-16.0,8.0,2,2025-06-07 23:26:04.338465
ue1,-102.0,-14.0,15.0,0,2025-06-07 23:26:04.350495
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:05.590196
ue1,-102.0,-8.0,15.0,0,2025-06-07 23:26:05.601976
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:06.842171
ue1,-103.0,-9.0,15.0,0,2025-06-07 23:26:06.853472
ue1,-104.0,-13.0,15.0,0,2025-06-07 23:26:08.110050
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:08.110120
ue1,-102.0,-9.0,14.0,0,2025-06-07 23:26:09.361707
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:09.361749
ue0,-92.0,-16.0,8.0,2,2025-06-07 23:26:10.633554
ue1,-103.0,-12.0,15.0,0,2025-06-07 23:26:10.640682
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:11.891484
ue1,-103.0,-13.0,15.0,0,2025-06-07 23:26:11.891547
ue1,-104.0,-9.0,14.0,0,2025-06-07 23:26:13.152527
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:13.153374
ue1,-102.0,-8.0,16.0,0,2025-06-07 23:26:14.403568
ue0,-92.0,-16.0,8.0,2,2025-06-07 23:26:14.404560
ue1,-100.0,-12.0,10.0,2,2025-06-07 23:26:15.655079
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:15.655474
ue1,-100.0,-13.0,13.0,0,2025-06-07 23:26:16.906614
ue0,-92.0,-15.0,8.0,2,2025-06-07 23:26:16.906644
ue1,-101.0,-8.0,14.0,0,2025-06-07 23:26:18.158092
ue0,-92.0,-15.0,7.0,2,2025-06-07 23:26:18.158141
ue1,-100.0,-8.0,14.0,0,2025-06-07 23:26:19.416201
ue0,-92.0,-15.0,9.0,2,2025-06-07 23:26:19.435653
ue1,-100.0,-10.0,13.0,0,2025-06-07 23:26:20.686557
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:20.687032
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:21.959604
ue1,-100.0,-9.0,13.0,0,2025-06-07 23:26:21.965237
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:23.211109
ue1,-110.0,-9.0,10.0,0,2025-06-07 23:26:23.216573
ue0,-93.0,-16.0,6.0,2,2025-06-07 23:26:24.463575
ue1,-107.0,-9.0,16.0,0,2025-06-07 23:26:24.467547
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:25.715132
ue1,-106.0,-9.0,16.0,0,2025-06-07 23:26:25.719045
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:26.969605
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:26:26.974508
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:28.226276
ue1,-109.0,-9.0,15.0,0,2025-06-07 23:26:28.226341
ue1,-108.0,-10.0,14.0,0,2025-06-07 23:26:29.480371
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:29.480446
ue0,-93.0,-17.0,7.0,2,2025-06-07 23:26:30.731628
ue1,-110.0,-10.0,15.0,0,2025-06-07 23:26:30.731705
ue1,-109.0,-14.0,13.0,0,2025-06-07 23:26:31.985355
ue0,-93.0,-16.0,8.0,2,2025-06-07 23:26:31.999915
ue1,-109.0,-14.0,13.0,0,2025-06-07 23:26:33.254438
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:33.272239
ue1,-108.0,-9.0,14.0,0,2025-06-07 23:26:34.506001
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:34.523752
ue1,-108.0,-9.0,14.0,0,2025-06-07 23:26:35.757714
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:35.775263
ue1,-109.0,-14.0,13.0,0,2025-06-07 23:26:37.009257
ue0,-93.0,-16.0,6.0,2,2025-06-07 23:26:37.025978
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:26:38.260695
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:38.278092
ue1,-108.0,-11.0,14.0,0,2025-06-07 23:26:39.511564
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:39.529344
ue1,-108.0,-9.0,15.0,0,2025-06-07 23:26:40.763088
ue0,-92.0,-16.0,7.0,2,2025-06-07 23:26:40.780605
ue1,-109.0,-11.0,13.0,0,2025-06-07 23:26:42.015497
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:42.031536
ue1,-109.0,-12.0,13.0,0,2025-06-07 23:26:43.300513
ue0,-93.0,-15.0,7.0,2,2025-06-07 23:26:43.300635
ue0,-93.0,-16.0,7.0,2,2025-06-07 23:26:44.562704
