Time,UE1 RSRP,UE1 RSRQ,UE1 SINR,UE1 Datagrams Loss Ratio,UE1 Total Datagrams
19:25:13,-67,-11,30,0.00E+00,1832
19:25:14,-70,-11,30,0.00E+00,1832
19:25:15,-73,-11,30,0.00E+00,1830
19:25:16,-70,-11,29,0.00E+00,1830
19:25:17,-66,-11,29,0.00E+00,1826
19:25:18,-67,-11,30,0.00E+00,1832
19:25:19,,,,0.00E+00,1838
19:25:20,-68,-11,30,0.00E+00,1823
19:25:21,-71,-11,30,0.00E+00,1833
19:25:22,-68,-11,30,0.00E+00,1830
19:25:23,-69,-11,28,0.00E+00,1823
19:25:24,-71,-11,28,0.00E+00,1846
19:25:25,-68,-11,30,0.00E+00,1824
19:25:26,-67,-11,30,0.00E+00,1836
19:25:27,-67,-11,30,0.00E+00,1834
19:25:28,-69,-11,30,0.00E+00,1822
19:25:29,-70,-11,30,0.00E+00,1837
19:25:30,-69,-11,30,0.00E+00,1826
19:25:31,-69,-11,30,0.00E+00,1836
19:25:32,-68,-11,30,0.00E+00,1830
19:25:33,,,,0.00E+00,1826
19:25:34,-69,-11,30,0.00E+00,1836
19:25:35,-66,-11,29,0.00E+00,1833
19:25:36,-69,-11,30,0.00E+00,1831
19:25:37,-69,-11,30,0.00E+00,1831
19:25:38,-70,-11,30,0.00E+00,1828
19:25:39,-68,-11,29,0.00E+00,1834
19:25:40,-68,-11,29,0.00E+00,1834
19:25:41,-67,-11,30,0.00E+00,1821
19:25:42,-69,-11,30,0.00E+00,1837
19:25:43,-66,-11,30,0.00E+00,1832
19:25:44,-66,-11,30,0.00E+00,1824
19:25:45,-65,-11,30,0.00E+00,1831
19:25:46,-70,-11,30,0.00E+00,1834
19:25:47,,,,0.00E+00,1831
19:25:48,-68,-11,29,0.00E+00,1829
19:25:49,-68,-11,29,0.00E+00,1821
19:25:50,-82,-11,30,0.00E+00,1835
19:25:51,-80,-11,24,0.00E+00,1839
19:25:52,-84,-11,20,0.00E+00,1831
19:25:53,-79,-11,22,0.00E+00,1828
19:25:54,-85,-11,23,0.00E+00,1836
19:25:55,-83,-11,23,0.00E+00,1813
19:25:56,-85,-11,19,0.00E+00,1839
19:25:57,-82,-11,19,0.00E+00,1844
19:25:58,-88,-11,21,0.00E+00,1815
19:25:59,-85,-11,19,0.00E+00,1841
19:26:00,-85,-11,19,0.00E+00,1840
19:26:01,,,,0.00E+00,1826
19:26:02,-86,-11,20,0.00E+00,1834
19:26:03,-86,-11,19,0.00E+00,1831
19:26:04,-85,-11,21,0.00E+00,1814
19:26:05,-88,-11,21,0.00E+00,1836
19:26:06,-80,-11,21,0.00E+00,1836
19:26:07,-79,-11,21,0.00E+00,1839
19:26:08,-79,-11,23,0.00E+00,1826
19:26:09,-81,-11,23,0.00E+00,1831
19:26:10,-79,-11,21,0.00E+00,1842
19:26:11,-82,-11,21,0.00E+00,1814
19:26:12,-78,-11,21,0.00E+00,1835
19:26:13,-81,-11,21,0.00E+00,1838
19:26:14,-79,-11,22,0.00E+00,1830
19:26:15,,,,0.00E+00,1833
19:26:16,-80,-11,22,0.00E+00,1827
19:26:17,-82,-11,20,0.00E+00,1834
19:26:18,-79,-11,22,0.00E+00,1834
19:26:19,-79,-11,21,0.00E+00,1825
19:26:20,-81,-11,21,0.00E+00,1834
19:26:21,-78,-11,22,0.00E+00,1821
19:26:22,-81,-11,22,0.00E+00,1837
19:26:23,-77,-11,22,0.00E+00,1835
